song_name,Artist,Playlist,Album,Popularity,Duration,Acousticness,Danceability,Energy,Instrumentalness,Key,Liveness,Loudness,Audio_mode,Speechiness,Tempo,Time_signature,Audio_valence,Song,MBID,DynamicComplexity,SpectralFlux,SpectralSkewness,spectral_decrease,SpectralEnergy,Dissonance,SpectralEntropy,PitchSalience,SpectralComplexity,BeatsCount,BeatsLoudness,Gender,Acoustic,Aggressive,Electronic,Happy,Party,Relaxed,Sad,Dark,Tone
Boulevard of Broken Dreams,Green_Day,00s Rock Anthems,Greatest_Hits%3A_God%27s_Favorite_Band,7,4,0,5,7,0,8,1,-4,1,0.0294,17,4,0,Boulevard%20of%20Broken%20Dreams%28Green_Day%29,8f8c186f-5a58-4a94-82a0-1d87d7d7ae2d,4,9,1,-6.95E-09,3,7,8,1,2,11,4,0,0,0,1,1,1,0,0,0,1
In The End,Linkin_Park,00s Rock Anthems,Hybrid_Theory,7,4,0,5,9,0,3,1,-6,0,0.0498,11,4,0,In%20The%20End%28Linkin_Park%29,24977155-4957-4dfc-adcb-0888dc79b38b,3,10,1,-8.15E-09,3,8,8,1,3,10,4,1,0,1,0,1,1,0,0,1,0
Seven Nation Army,The_White_Stripes,00s Rock Anthems,Elephant,8,4,0,7,5,4,0,3,-8,1,0.0792,12,4,0,Seven%20Nation%20Army%28The_White_Stripes%29,ac8e0c2d-3082-48a7-99aa-4260f25a2b18,4,8,1,-6.69E-09,3,7,7,0,2,9,4,1,0,1,1,0,1,1,0,1,0
By The Way,Red_Hot_Chili_Peppers,00s Rock Anthems,By_The_Way_%28Deluxe_Version%29,7,4,0,5,10,0,0,1,-5,1,0.107,12,4,0,By%20The%20Way%28Red_Hot_Chili_Peppers%29,0cadc2db-b717-4c6c-807b-a2358146de22,3,9,1,-6.83E-09,3,8,8,1,2,12,4,1,0,1,0,1,1,0,0,0,1
How You Remind Me,Nickelback,00s Rock Anthems,Silver_Side_Up,6,4,0,4,8,0,10,1,-5,1,0.0313,17,4,1,How%20You%20Remind%20Me%28Nickelback%29,0269a270-b901-454d-be77-cc64555e5bae,4,7,2,-5.76E-09,2,5,7,1,1,8,4,0,1,0,0,0,0,0,1,0,1
Bring Me To Life,Evanescence,00s Rock Anthems,Fallen,8,4,0,3,9,0,4,4,-3,0,0.124,19,4,0,Bring%20Me%20To%20Life%28Evanescence%29,8d29865e-2572-4b34-aebb-b35e325a22a0,2,9,1,-7.25E-09,3,7,8,1,3,9,3,0,0,1,0,0,0,0,0,1,0
Last Resort,Papa_Roach,00s Rock Anthems,Infest,8,3,0,6,9,0,4,3,-4,0,0.0624,9,4,1,Last%20Resort%28Papa_Roach%29,5742c53c-47eb-4e9f-b245-d7f8cb2b4016,3,2,1,-1.24E-08,5,8,8,1,3,9,8,1,0,0,1,0,0,1,0,1,0
Are You Gonna Be My Girl,Jet,00s Rock Anthems,Get_Born,8,4,0,6,10,0,2,2,-3,1,0.0855,11,4,1,Are%20You%20Gonna%20Be%20My%20Girl%28Jet%29,b3a0e6f5-f45f-4536-9a1e-e5b06761af33,4,7,2,-4.39E-09,2,8,8,1,2,11,2,1,0,0,0,0,0,0,0,1,0
Sex on Fire,Kings_of_Leon,00s Rock Anthems,Only_By_The_Night,8,3,0,5,9,0,9,1,-6,1,0.054,15,4,0,Sex%20on%20Fire%28Kings_of_Leon%29,c8702968-d38f-49ff-b7fd-acaac95285fb,3,6,3,-1.31E-08,8,7,8,1,2,12,1,1,0,0,1,1,0,1,0,1,0
The Middle,Jimmy_Eat_World,00s Rock Anthems,Bleed_American_%28Deluxe_Edition%29,8,3,0,6,9,0,2,3,-3,1,0.0483,16,4,1,The%20Middle%28Jimmy_Eat_World%29,ad342406-0adf-43d9-a101-b06cb02fcfe4,3,0,1,-9.13E-09,4,7,8,1,2,10,4,0,0,1,0,1,1,0,0,1,1
Numb,Linkin_Park,00s Rock Anthems,Meteora,6,3,0,5,9,0,9,6,-4,1,0.0381,11,4,0,Numb%28Linkin_Park%29,71efbbf5-8803-4a74-880c-c6452e3a2a0a,3,10,2,-1.67E-08,7,5,7,0,1,15,2,1,0,0,1,0,1,1,0,0,0
Smooth Criminal,Alien_Ant_Farm,00s Rock Anthems,Anthology,8,3,0,6,10,0,9,1,-4,0,0.06,13,4,1,Smooth%20Criminal%28Alien_Ant_Farm%29,294473b2-f2c7-40e8-b84b-2993ecbda518,4,9,1,-5.10E-09,2,8,8,1,2,10,3,0,0,1,1,1,1,1,0,1,0
Can't Stop,Red_Hot_Chili_Peppers,00s Rock Anthems,By_The_Way_%28Deluxe_Version%29,8,4,0,6,9,0,9,2,-3,1,0.0456,9,4,1,Can%27t%20Stop%28Red_Hot_Chili_Peppers%29,0721c97b-267b-45b0-8fa1-6490712561ce,4,1,1,-7.89E-09,3,7,8,1,2,8,5,1,0,1,1,0,1,0,0,0,1
Chop Suey!,System_Of_A_Down,00s Rock Anthems,Toxicity,7,4,0,4,9,0,7,1,-4,0,0.121,13,4,0,Chop%20Suey%21%28System_Of_A_Down%29,5c64749f-35f2-4bd5-9639-788231e90378,2,9,1,-7.75E-09,3,6,7,1,2,11,3,1,0,0,0,1,0,0,0,0,1
Take Me Out,Franz_Ferdinand,00s Rock Anthems,Franz_Ferdinand,8,4,0,3,7,0,9,1,-9,1,0.0371,10,4,0,Take%20Me%20Out%28Franz_Ferdinand%29,cb7ee449-3ae8-4eb7-b864-c90716cd60bf,2,9,2,-7.45E-09,3,8,8,1,3,10,3,1,0,1,0,0,1,0,0,1,1
Best of You,Foo_Fighters,00s Rock Anthems,Best_Of_You,6,4,0,4,9,0,1,1,-5,0,0.0767,13,4,0,Best%20of%20You%28Foo_Fighters%29,761d62ee-3405-4a44-9bd2-549ace645e85,3,9,1,-7.00E-09,3,8,8,1,3,11,3,0,0,1,0,1,0,0,0,0,1
I Write Sins Not Tragedies,Panic%21_At_The_Disco,00s Rock Anthems,A_Fever_You_Can%27t_Sweat_Out,8,3,1,6,8,0,9,1,-5,0,0.134,17,4,1,I%20Write%20Sins%20Not%20Tragedies%28Panic%21_At_The_Disco%29,7d62e605-b642-4cea-bf55-255e23dc9a9c,2,0,1,-9.40E-09,4,7,8,1,3,9,5,0,0,1,1,0,1,0,0,1,1
Kryptonite,3_Doors_Down,00s Rock Anthems,The_Better_Life,8,4,0,5,9,0,11,2,-6,0,0.0286,10,4,1,Kryptonite%283_Doors_Down%29,db2ff8a0-4c3c-4fec-b59c-8799f43c8d11,4,8,2,-6.27E-09,3,6,7,1,2,8,3,0,1,0,0,1,0,1,1,0,1
The Kill (Bury Me),Thirty_Seconds_To_Mars,00s Rock Anthems,A_Beautiful_Lie,7,4,0,3,9,0,4,6,-4,0,0.0646,18,3,0,The%20Kill%20%28Bury%20Me%29%28Thirty_Seconds_To_Mars%29,a9b3d45b-fc8f-4b16-a7b3-50526403beea,6,4,3,-4.71E-09,2,1,7,1,1,9,2,0,1,0,0,0,0,1,1,0,1
Use Somebody,Kings_of_Leon,00s Rock Anthems,Only_By_The_Night,8,4,0,3,7,0,0,2,-5,1,0.0432,14,4,0,Use%20Somebody%28Kings_of_Leon%29,1e5715ce-6097-4a66-add8-06d8f9592b58,3,9,2,-9.22E-09,4,7,7,1,2,10,4,1,0,0,0,0,0,0,0,1,1
No One Knows,Queens_of_the_Stone_Age,00s Rock Anthems,No_One_Knows_%28International_Version%29,1,4,0,5,5,0,0,1,-6,1,0.0486,17,4,1,No%20One%20Knows%28Queens_of_the_Stone_Age%29,30e566da-0c60-4c68-b145-a844a2e28abc,4,7,1,-4.61E-09,2,6,7,1,1,5,3,0,1,0,0,1,0,0,0,0,0
Jerk It Out,Caesars,00s Rock Anthems,Love_For_The_Streets,6,3,0,6,10,0,8,4,-3,0,0.06,13,4,1,Jerk%20It%20Out%28Caesars%29,0efff904-f98f-4693-84fe-a5eef6d18105,2,10,1,-6.71E-09,3,8,8,1,3,9,4,0,0,1,1,1,1,0,0,1,0
Uprising,Muse,00s Rock Anthems,The_Resistance,8,5,0,6,9,1,2,1,-4,1,0.0775,13,4,0,Uprising%28Muse%29,686a5e9c-2bdd-443a-bd1b-9ceafb5958aa,2,1,1,-9.67E-09,4,9,8,1,3,15,5,1,0,0,1,0,0,1,0,1,0
Hey There Delilah,Plain_White_T%27s,00s Rock Anthems,All_That_We_Needed,8,4,9,7,3,0,2,1,-11,1,0.0293,10,4,0,Hey%20There%20Delilah%28Plain_White_T%27s%29,85522196-987c-4550-94c9-ae2a42666a5a,3,9,1,-6.93E-09,3,6,8,1,2,8,4,0,0,0,0,1,0,0,0,0,0
Blurry,Puddle_Of_Mudd,00s Rock Anthems,Come_Clean_%28Repackaged_International_Version%29,3,5,0,4,9,0,3,1,-4,0,0.0584,16,4,0,Blurry%28Puddle_Of_Mudd%29,9e036de9-9c86-4731-9d45-6d98cf119d4a,3,9,2,-1.22E-08,5,7,8,0,2,10,6,1,0,0,1,0,1,0,0,1,0
American Idiot,Green_Day,00s Rock Anthems,American_Idiot,8,3,0,4,10,0,1,4,-2,1,0.0639,19,4,1,American%20Idiot%28Green_Day%29,ed56570d-a9f3-4b2d-afd6-88cd75b02594,2,1,1,-8.12E-09,3,8,8,1,3,8,4,0,0,1,1,0,1,0,0,1,0
