Playlist,Precision,Recall
Rock Me UP!,0.381652893,1
Women of Pop,0.168408644,1
Mellow Bars,0.2356345,1
Piano in the Background,0.161384471,1
Mood Booster,0.257963235,1
Salsa Hits_ Los 90s,0.263661417,1
Country's Greatest Hits_  The '60s,0.174609461,1
Guilty Pleasures,0.159812207,1
Indie Workout,0.142756,1
Made in Chile,0.562922014,1
Cool Down,0.259320113,1
80s Rock Anthems,0.158449905,1
Get Turnt,0.22114,1
All Out 90s,0.1328566,1
Country's Greatest Hits_  The '80s,0.154861368,1
80s Hard Rock,0.156704545,1
Alternative 10s,0.218465,1
Feel-Good Indie Rock,0.169786756,1
Pop Sauce,0.127495,1
Autumn Leaves,0.155329567,1
Deep Dark Indie,0.266354,1
One-Hit Wonders,0.155396825,1
Alternative 90s,0.125346,1
Soft Pop Hits,0.153643411,1
Country's Greatest Hits_  The '70's,0.12778984,1
Latin Pride,0.125246,1
One More Rep,0.146246057,1
A Perfect Day,0.1032768,1
Happy Folk,0.140576923,1
K-Hip-Hop Beats,0.139210526,1
The Most Beautiful Songs in the World,0.18745234,1
Low-Key,0.1947603,1
70s Rock Anthems,0.235778894,1
Wake Up Happy,0.188465,1
Contemporary Blend,0.147928731,1
Retro Pop,0.1258365,1
Adrenaline Workout,0.162767978,1
Workday_ Pop,0.14517094,1
Hard Rock Workout,0.148156425,1
Chill Instrumental Beats,0.205793,1
Lush Lofi,0.16738456,1
Country's Greatest Hits_  The '50s,0.194068441,1
Punk Rock Workout,0.14561086,1
NTC_ Studio Sounds,0.138823529,1
All Out 00s,0.138763931,1
Your Favorite Coffeehouse,0.146590126,1
Infinite Acoustic,0.1154367,1
Swagger,0.1274857,1
The GRAMMYs Official Playlist,0.187642971,1
All Out 80s,0.17385763,1
New Music Friday,0.1971875,1
Pumping Iron,0.1746583,1
Country's Greatest Hits_  The '90s,0.214368441,1
Alternative 00s,0.14561086,1
Grime Shutdown,0.138823529,1
Rap UK,0.159963235,1
Alternative 80s,0.163661417,1
Stay Wild,0.174609461,1
Abuela's Mix,0.159812207,1
Rockin' Vibes,0.162922014,1
You & Me,0.562922014,1
Young & Free,0.159320113,1
It's ALT Good!,0.158449905,1
90s Pop Rock Essentials,0.169439655,1
Bedroom Pop,0.160629302,1
2000s Smash Hits,0.154861368,1
Nike Running Tempo Mix,0.156704545,1
Extreme Metal Workout,0.158109932,1
Pop Chile,0.169786756,1
NTC_ Gym Strong,0.169585666,1
Good Vibes,0.155329567,1
Soak Up the Sun,0.153148148,1
Songs to Sing in the Car,0.155396825,1
EDM Workout,0.159963235,1
G.O.O.D. Music,0.163661417,1
LA Pops,0.174609461,1
Soul Coffee,0.159812207,1
Alternative 60s,0.162922014,1
NTC_ High Intensity Training Tracks,0.147394665,1
Off the Strength,0.159320113,1
Pop Rising,0.158449905,1
Early Alternative,0.16457944,1
I Love My '90s Hip-Hop,0.160629302,1
Orgullo Afro-Latino,0.154861368,1
Mega Hit Mix,0.156704545,1
80s Smash Hits,0.158109932,1
La Troca,0.169786756,1
Feelin' Good,0.169585666,1
Songs to Sing in the Shower,0.155329567,1
Grime Instrumentals,0.153148148,1
LatinX Indie,0.155396825,1
Most Necessary,0.155471698,1
Latinos Unidos,0.153643411,1
Alternative Hip Hop,0.151917808,1
Acoustic Covers,0.151917808,1
Acoustic Hits,0.146246057,1
Lofi Hip-Hop,0.151917808,1
90s Acoustic,0.140576923,1
Have a Great Day!,0.139210526,1
60s Rock Anthems,0.18745234,1
00s Rock Anthems,0.149898534,1
Weekend Hangouts,0.235778894,1
Everyday Favorites,0.141616162,1
The Realest Down South,0.147928731,1
Latin Pop Classics,0.141122244,1
Alternative 70s,0.162767978,1
The '80s All Lined Up,0.14517094,1
Good Times_ Great Oldies,0.148156425,1
Hot Country,0.209475,1
POLLEN,0.3184652,1
All The Feels,0.151917808,1
NIKE RUNNING FASTEST MILE,0.140576923,1
All Out 70s,0.168945,1
New Tejano,0.18745234,1
All Aussie Hip-Hop,0.149898534,1
Teen Party,0.235778894,1
Signed XOXO,0.3145742,1
Ill Lyricist,0.147928731,1
Tejano Classics,0.141122244,1
Dreamy Vibes,0.162767978,1
Country Coffeehouse,0.14517094,1
Salsa Classics,0.203438,1
Left of Center,0.1997455,1
Motivation Mix,0.23859205,1
Epic Workout,0.314615,1
Sad Vibe,0.14561086,1
Wild Cards_ Winter Mix,0.138823529,1
Pop Matters,0.1573956,1
Cloud Rap,0.179465,1
Cali Fire,0.146592013,1
Walk Like A Badass,0.225408163,1
Crowd Pleasers,0.187642971,1
Afropop.csv,0.148156425,1
Out Now,0.1971875,1
Running & Workout,0.157439,1
Love Ballads,0.2048576,1
All Out 60s,0.319576,1
Anti Pop,0.3656525,1
Canciones del Recuerdo,0.159963235,1
Rock Your Body,0.163661417,1
Fitness Araby,0.1837584,1
Country's Greatest Hits_  The '40's,0.159812207,1
Life Sucks,0.3157495,1
Tomorrow's Hits,0.234775,1
Latin Party Anthems,0.159320113,1
Cumbia Anthems,0.158449905,1
Certified Gold,0.113535,1
Mellow Pop,0.160629302,1
Now Hear This,0.580306,1
Exitos USA,0.17936547,1
Hit Rewind,0.158449905,1
90's Hip-Hop Don't Stop,0.169439655,1
Global Viral 50,0.218563,1
Vibras,0.187465,1
Straight Off The Porch,0.156704545,1
Urban Poet,0.158109932,1
Fiesta 90era,0.169786756,1
All Out 50s,0.2132467,1
Persian Essentials,0.155329567,1
United States Viral 50,0.179374,1
Endorphin Rush,0.155396825,1
Born To Run 150 BPM,0.155471698,1
Trap Instrumental Beats,0.153643411,1
Fresh & Chill,0.1684903,1
Bodega Sounds,0.1736583,1
Drifting Apart,0.146246057,1
Just Get Going! 155 BPM,0.204566,1
Power Workout,0.140576923,1
Confidence Boost,0.139210526,1
Latin Jazz,0.18745234,1
Bachata Classics,0.149898534,1
Hype Rhythm,0.235778894,1
La Barberia,0.3885635,1
Rock This,0.147928731,1
100% LatinX,0.141122244,1
50 Latin Classics,0.162767978,1
Autumn Acoustic,0.3229465,1
Acoustic Hits_ Oldies but Goodies,0.148156425,1
Clinically Cold,0.1971875,1
Boleros,0.2018465,1
Rep The Set,0.151917808,1
70s & 80s Acoustic,0.140576923,1
Mellow Styles,0.199465,1
Throwback Workout,0.18745234,1
Hype,0.149898534,1
Beats & Rhymes,0.235778894,1
90s Rock Anthems,0.2194752,1
No Wahala,0.147928731,1
Viva Latino,0.141122244,1
Sawa,0.162767978,1
Calm Vibes,0.118465,1
Throwback_ Latin Explosion,0.148156425,1
The Piano Lounge,0.1971875,1
HIIT-Hop,0.146964286,1
Tear Drop,0.422564,1
El Bloque,0.14561086,1
Today's Top Hits,0.138823529,1
I Love My '80s Hip-Hop,0.138763931,1
Raw Beats,0.13285946,1
Latin Cardio,0.1243256,1
Happy Hits!,0.148156425,1
Footwork Fever,0.1971875,1
Tender,0.206749,1
Beats n' Bars,0.151917808,1
Global X,0.140576923,1
LADY GAGA  JOANNE,0.139210526,1
Mambo Classics,0.18745234,1
Mind Right,0.149898534,1
Global Top 50,0.182466,1
Hip Hop Made Me,0.3327578,1
Lounge - Soft House,0.147928731,1
ThrowbackThursday,0.141122244,1
Radio 1 Playlist (BBC),0.12472956,1
Powerwalk!,0.14517094,1
Sad Beats,0.148156425,1
Fresh Finds,0.1971875,1
Chicano Fly Zone,0.4592057,1
Beast Mode,0.31859343,1
State of Mind,0.14561086,1
Happy Beats,0.138823529,1
A1 Hip-Hop,0.138763931,1
Para Entrenar,0.164565901,1
Hella Good New Millenia Hits,0.2335856,1
Pop Warmup 130 BPM,0.225408163,1
80s Love Songs,0.187642971,1
Workout Twerkout,0.148156425,1
Fantastic K-Workout,0.1971875,1
Lowkey Flex,0.146964286,1
Pumped Pop,0.194068441,1
Doo-Wop Dee Doo,0.1164677,1
