Playlist,Precision,Recall
Rock Me UP!,0.371652893,1
Women of Pop,0.158408644,1
Mellow Bars,0.349963235,1
Piano in the Background,0.151384471,1
Mood Booster,0.247963235,1
Salsa Hits_ Los 90s,0.253661417,1
Country's Greatest Hits_  The '60s,0.164609461,1
Guilty Pleasures,0.149812207,1
Indie Workout,0.152922014,1
Made in Chile,0.552922014,1
Cool Down,0.249320113,1
80s Rock Anthems,0.148449905,1
Get Turnt,0.21114,1
All Out 90s,0.150629302,1
Country's Greatest Hits_  The '80s,0.144861368,1
80s Hard Rock,0.146704545,1
Alternative 10s,0.208465,1
Feel-Good Indie Rock,0.159786756,1
Pop Sauce,0.159585666,1
Autumn Leaves,0.145329567,1
Deep Dark Indie,0.256354,1
One-Hit Wonders,0.145396825,1
Alternative 90s,0.145471698,1
Soft Pop Hits,0.143643411,1
Country's Greatest Hits_  The '70's,0.194857,1
Latin Pride,0.141917808,1
One More Rep,0.136246057,1
A Perfect Day,0.141917808,1
Happy Folk,0.130576923,1
K-Hip-Hop Beats,0.129210526,1
The Most Beautiful Songs in the World,0.17745234,1
Low-Key,0.211758,1
70s Rock Anthems,0.225778894,1
Wake Up Happy,0.178465,1
Contemporary Blend,0.137928731,1
Retro Pop,0.131122244,1
Adrenaline Workout,0.152767978,1
Workday_ Pop,0.13517094,1
Hard Rock Workout,0.138156425,1
Chill Instrumental Beats,0.195793,1
Lush Lofi,0.176464286,1
Country's Greatest Hits_  The '50s,0.184068441,1
Punk Rock Workout,0.13561086,1
NTC_ Studio Sounds,0.128823529,1
All Out 00s,0.128763931,1
Your Favorite Coffeehouse,0.136590126,1
Infinite Acoustic,0.1054367,1
Swagger,0.215408163,1
The GRAMMYs Official Playlist,0.177642971,1
All Out 80s,0.138156425,1
New Music Friday,0.1871875,1
Pumping Iron,0.1646583,1
Country's Greatest Hits_  The '90s,0.204368441,1
Alternative 00s,0.13561086,1
Grime Shutdown,0.128823529,1
Rap UK,0.149963235,1
Alternative 80s,0.153661417,1
Stay Wild,0.164609461,1
Abuela's Mix,0.149812207,1
Rockin' Vibes,0.152922014,1
You & Me,0.552922014,1
Young & Free,0.149320113,1
It's ALT Good!,0.148449905,1
90s Pop Rock Essentials,0.159439655,1
Bedroom Pop,0.150629302,1
2000s Smash Hits,0.144861368,1
Nike Running Tempo Mix,0.146704545,1
Extreme Metal Workout,0.148109932,1
Pop Chile,0.159786756,1
NTC_ Gym Strong,0.159585666,1
Good Vibes,0.145329567,1
Soak Up the Sun,0.143148148,1
Songs to Sing in the Car,0.145396825,1
EDM Workout,0.149963235,1
G.O.O.D. Music,0.153661417,1
LA Pops,0.164609461,1
Soul Coffee,0.149812207,1
Alternative 60s,0.152922014,1
NTC_ High Intensity Training Tracks,0.552922014,1
Off the Strength,0.149320113,1
Pop Rising,0.148449905,1
Early Alternative,0.15457944,1
I Love My '90s Hip-Hop,0.150629302,1
Orgullo Afro-Latino,0.144861368,1
Mega Hit Mix,0.146704545,1
80s Smash Hits,0.148109932,1
La Troca,0.159786756,1
Feelin' Good,0.159585666,1
Songs to Sing in the Shower,0.145329567,1
Grime Instrumentals,0.143148148,1
LatinX Indie,0.145396825,1
Most Necessary,0.145471698,1
Latinos Unidos,0.143643411,1
Alternative Hip Hop,0.141917808,1
Acoustic Covers,0.141917808,1
Acoustic Hits,0.136246057,1
Lofi Hip-Hop,0.141917808,1
90s Acoustic,0.130576923,1
Have a Great Day!,0.129210526,1
60s Rock Anthems,0.17745234,1
00s Rock Anthems,0.139898534,1
Weekend Hangouts,0.225778894,1
Everyday Favorites,0.131616162,1
The Realest Down South,0.137928731,1
Latin Pop Classics,0.131122244,1
Alternative 70s,0.152767978,1
The '80s All Lined Up,0.13517094,1
Good Times_ Great Oldies,0.138156425,1
Hot Country,0.199475,1
POLLEN,0.5203867,1
All The Feels,0.141917808,1
