Playlist,Precision,Recall
Rock Me UP!,0.411652893,1
Women of Pop,0.213735,1
Mellow Bars,0.2656345,1
Piano in the Background,0.191384471,1
Mood Booster,0.287963235,1
Salsa Hits_ Los 90s,0.293661417,1
Country's Greatest Hits_  The '60s,0.204609461,1
Guilty Pleasures,0.2174624,1
Indie Workout,0.172756,1
Made in Chile,0.592922014,1
Cool Down,0.289320113,1
80s Rock Anthems,0.19366,1
Get Turnt,0.25114,1
All Out 90s,0.1628566,1
Country's Greatest Hits_  The '80s,0.184861368,1
80s Hard Rock,0.186704545,1
Alternative 10s,0.248465,1
Feel-Good Indie Rock,0.199786756,1
Pop Sauce,0.157495,1
Autumn Leaves,0.185329567,1
Deep Dark Indie,0.296354,1
One-Hit Wonders,0.185396825,1
Alternative 90s,0.155346,1
Soft Pop Hits,0.183643411,1
Country's Greatest Hits_  The '70's,0.15778984,1
Latin Pride,0.155246,1
One More Rep,0.176246057,1
A Perfect Day,0.1332768,1
Happy Folk,0.170576923,1
K-Hip-Hop Beats,0.169210526,1
The Most Beautiful Songs in the World,0.21745234,1
Low-Key,0.2247603,1
70s Rock Anthems,0.265778894,1
Wake Up Happy,0.218465,1
Contemporary Blend,0.177928731,1
Retro Pop,0.1558365,1
Adrenaline Workout,0.192767978,1
Workday_ Pop,0.17517094,1
Hard Rock Workout,0.1983936,1
Chill Instrumental Beats,0.235793,1
Lush Lofi,0.19738456,1
Country's Greatest Hits_  The '50s,0.224068441,1
Punk Rock Workout,0.17561086,1
NTC_ Studio Sounds,0.168823529,1
All Out 00s,0.168763931,1
Your Favorite Coffeehouse,0.176590126,1
Infinite Acoustic,0.1454367,1
Swagger,0.1574857,1
The GRAMMYs Official Playlist,0.217642971,1
All Out 80s,0.20385763,1
New Music Friday,0.2271875,1
Pumping Iron,0.2046583,1
Country's Greatest Hits_  The '90s,0.244368441,1
Alternative 00s,0.17561086,1
Grime Shutdown,0.213875,1
Rap UK,0.189963235,1
Alternative 80s,0.193661417,1
Stay Wild,0.204609461,1
Abuela's Mix,0.18042057,1
Rockin' Vibes,0.192922014,1
You & Me,0.592922014,1
Young & Free,0.173546,1
It's ALT Good!,0.188449905,1
90s Pop Rock Essentials,0.199439655,1
Bedroom Pop,0.190629302,1
2000s Smash Hits,0.184861368,1
Nike Running Tempo Mix,0.186704545,1
Extreme Metal Workout,0.1902745,1
Pop Chile,0.199786756,1
NTC_ Gym Strong,0.199585666,1
Good Vibes,0.2146476,1
Soak Up the Sun,0.197896,1
Songs to Sing in the Car,0.185396825,1
EDM Workout,0.189963235,1
G.O.O.D. Music,0.193661417,1
LA Pops,0.237782946,1
Soul Coffee,0.328465,1
Alternative 60s,0.192922014,1
NTC_ High Intensity Training Tracks,0.177394665,1
Off the Strength,0.189320113,1
Pop Rising,0.188449905,1
Early Alternative,0.19457944,1
I Love My '90s Hip-Hop,0.190629302,1
Orgullo Afro-Latino,0.184861368,1
Mega Hit Mix,0.186704545,1
80s Smash Hits,0.188109932,1
La Troca,0.199786756,1
Feelin' Good,0.199585666,1
Songs to Sing in the Shower,0.185329567,1
Grime Instrumentals,0.183148148,1
LatinX Indie,0.185396825,1
Most Necessary,0.185471698,1
Latinos Unidos,0.183643411,1
Alternative Hip Hop,0.2318364,1
Acoustic Covers,0.20476592,1
Acoustic Hits,0.176246057,1
Lofi Hip-Hop,0.181917808,1
90s Acoustic,0.170576923,1
Have a Great Day!,0.1839376,1
60s Rock Anthems,0.21745234,1
00s Rock Anthems,0.179898534,1
Weekend Hangouts,0.265778894,1
Everyday Favorites,0.171616162,1
The Realest Down South,0.3257345,1
Latin Pop Classics,0.171122244,1
Alternative 70s,0.192767978,1
The '80s All Lined Up,0.17517094,1
Good Times_ Great Oldies,0.178156425,1
Hot Country,0.239475,1
POLLEN,0.3484652,1
All The Feels,0.181917808,1
NIKE RUNNING FASTEST MILE,0.170576923,1
All Out 70s,0.198945,1
New Tejano,0.21745234,1
All Aussie Hip-Hop,0.179898534,1
Teen Party,0.265778894,1
Signed XOXO,0.3445742,1
Ill Lyricist,0.177928731,1
Tejano Classics,0.218465,1
Dreamy Vibes,0.192767978,1
Country Coffeehouse,0.17517094,1
Salsa Classics,0.233438,1
Left of Center,0.2297455,1
Motivation Mix,0.26859205,1
Epic Workout,0.344615,1
Sad Vibe,0.17561086,1
Wild Cards_ Winter Mix,0.168823529,1
Pop Matters,0.1873956,1
Cloud Rap,0.209465,1
Cali Fire,0.176592013,1
Walk Like A Badass,0.255408163,1
Crowd Pleasers,0.217642971,1
Afropop.csv,0.178156425,1
Out Now,0.2271875,1
Running & Workout,0.187439,1
Love Ballads,0.2348576,1
All Out 60s,0.349576,1
Anti Pop,0.3956525,1
Canciones del Recuerdo,0.2293756,1
Rock Your Body,0.193661417,1
Fitness Araby,0.2137584,1
Country's Greatest Hits_  The '40's,0.189812207,1
Life Sucks,0.3457495,1
Tomorrow's Hits,0.264775,1
Latin Party Anthems,0.189320113,1
Cumbia Anthems,0.188449905,1
Certified Gold,0.143535,1
Mellow Pop,0.190629302,1
Now Hear This,0.610306,1
Exitos USA,0.20936547,1
Hit Rewind,0.218465,1
90's Hip-Hop Don't Stop,0.199439655,1
Global Viral 50,0.248563,1
Vibras,0.217465,1
Straight Off The Porch,0.186704545,1
Urban Poet,0.2324645,1
Fiesta 90era,0.199786756,1
All Out 50s,0.2432467,1
Persian Essentials,0.4735382,1
United States Viral 50,0.209374,1
Endorphin Rush,0.185396825,1
Born To Run 150 BPM,0.185471698,1
Trap Instrumental Beats,0.183643411,1
Fresh & Chill,0.1984903,1
Bodega Sounds,0.2036583,1
Drifting Apart,0.176246057,1
Just Get Going! 155 BPM,0.234566,1
Power Workout,0.170576923,1
Confidence Boost,0.169210526,1
Latin Jazz,0.21745234,1
Bachata Classics,0.179898534,1
Hype Rhythm,0.265778894,1
La Barberia,0.4185635,1
Rock This,0.177928731,1
100% LatinX,0.171122244,1
50 Latin Classics,0.192767978,1
Autumn Acoustic,0.3529465,1
Acoustic Hits_ Oldies but Goodies,0.178156425,1
Clinically Cold,0.2271875,1
Boleros,0.2318465,1
Rep The Set,0.181917808,1
70s & 80s Acoustic,0.170576923,1
Mellow Styles,0.229465,1
Throwback Workout,0.21745234,1
Hype,0.179898534,1
Beats & Rhymes,0.265778894,1
90s Rock Anthems,0.2494752,1
No Wahala,0.177928731,1
Viva Latino,0.171122244,1
Sawa,0.192767978,1
Calm Vibes,0.148465,1
Throwback_ Latin Explosion,0.178156425,1
The Piano Lounge,0.2271875,1
HIIT-Hop,0.176964286,1
Tear Drop,0.452564,1
El Bloque,0.17561086,1
Today's Top Hits,0.168823529,1
I Love My '80s Hip-Hop,0.168763931,1
Raw Beats,0.16285946,1
Latin Cardio,0.1543256,1
Happy Hits!,0.178156425,1
Footwork Fever,0.2271875,1
Tender,0.236749,1
Beats n' Bars,0.181917808,1
Global X,0.170576923,1
LADY GAGA  JOANNE,0.169210526,1
Mambo Classics,0.21745234,1
Mind Right,0.179898534,1
Global Top 50,0.212466,1
Hip Hop Made Me,0.3627578,1
Lounge - Soft House,0.177928731,1
ThrowbackThursday,0.171122244,1
Radio 1 Playlist (BBC),0.15472956,1
Powerwalk!,0.17517094,1
Sad Beats,0.178156425,1
Fresh Finds,0.2271875,1
Chicano Fly Zone,0.4892057,1
Beast Mode,0.34859343,1
State of Mind,0.17561086,1
Happy Beats,0.168823529,1
A1 Hip-Hop,0.168763931,1
Para Entrenar,0.194565901,1
Hella Good New Millenia Hits,0.2635856,1
Pop Warmup 130 BPM,0.255408163,1
80s Love Songs,0.217642971,1
Workout Twerkout,0.178156425,1
Fantastic K-Workout,0.2271875,1
Lowkey Flex,0.176964286,1
Pumped Pop,0.224068441,1
Doo-Wop Dee Doo,0.1464677,1
