Playlist,Precision,Recall
Rock Me UP!,0.441652893,1
Women of Pop,0.228408644,1
Mellow Bars,0.419963235,1
Piano in the Background,0.221384471,1
Mood Booster,0.317963235,1
Salsa Hits_ Los 90s,0.323661417,1
Country's Greatest Hits_  The '60s,0.234609461,1
Guilty Pleasures,0.219812207,1
Indie Workout,0.222922014,1
Made in Chile,0.622922014,1
Cool Down,0.319320113,1
80s Rock Anthems,0.218449905,1
Get Turnt,0.28114,1
All Out 90s,0.220629302,1
Country's Greatest Hits_  The '80s,0.214861368,1
80s Hard Rock,0.216704545,1
Alternative 10s,0.278465,1
Feel-Good Indie Rock,0.229786756,1
Pop Sauce,0.229585666,1
Autumn Leaves,0.215329567,1
Deep Dark Indie,0.326354,1
One-Hit Wonders,0.215396825,1
Alternative 90s,0.215471698,1
Soft Pop Hits,0.213643411,1
Country's Greatest Hits_  The '70's,0.264857,1
Latin Pride,0.211917808,1
One More Rep,0.206246057,1
A Perfect Day,0.211917808,1
Happy Folk,0.200576923,1
K-Hip-Hop Beats,0.199210526,1
The Most Beautiful Songs in the World,0.24745234,1
Low-Key,0.281758,1
70s Rock Anthems,0.295778894,1
Wake Up Happy,0.248465,1
Contemporary Blend,0.207928731,1
Retro Pop,0.201122244,1
Adrenaline Workout,0.222767978,1
Workday_ Pop,0.20517094,1
Hard Rock Workout,0.208156425,1
Chill Instrumental Beats,0.265793,1
Lush Lofi,0.246464286,1
Country's Greatest Hits_  The '50s,0.254068441,1
Punk Rock Workout,0.20561086,1
NTC_ Studio Sounds,0.198823529,1
All Out 00s,0.198763931,1
Your Favorite Coffeehouse,0.206590126,1
Infinite Acoustic,0.1754367,1
Swagger,0.285408163,1
The GRAMMYs Official Playlist,0.247642971,1
All Out 80s,0.208156425,1
New Music Friday,0.2571875,1
Pumping Iron,0.2346583,1
Country's Greatest Hits_  The '90s,0.274368441,1
Alternative 00s,0.20561086,1
Grime Shutdown,0.198823529,1
Rap UK,0.219963235,1
Alternative 80s,0.223661417,1
Stay Wild,0.234609461,1
Abuela's Mix,0.219812207,1
Rockin' Vibes,0.222922014,1
You & Me,0.622922014,1
Young & Free,0.219320113,1
It's ALT Good!,0.218449905,1
90s Pop Rock Essentials,0.229439655,1
Bedroom Pop,0.220629302,1
2000s Smash Hits,0.214861368,1
Nike Running Tempo Mix,0.216704545,1
Extreme Metal Workout,0.218109932,1
Pop Chile,0.229786756,1
NTC_ Gym Strong,0.229585666,1
Good Vibes,0.215329567,1
Soak Up the Sun,0.213148148,1
Songs to Sing in the Car,0.215396825,1
EDM Workout,0.219963235,1
G.O.O.D. Music,0.223661417,1
LA Pops,0.234609461,1
Soul Coffee,0.219812207,1
Alternative 60s,0.222922014,1
NTC_ High Intensity Training Tracks,0.622922014,1
Off the Strength,0.219320113,1
Pop Rising,0.218449905,1
Early Alternative,0.22457944,1
I Love My '90s Hip-Hop,0.220629302,1
Orgullo Afro-Latino,0.214861368,1
Mega Hit Mix,0.216704545,1
80s Smash Hits,0.218109932,1
La Troca,0.229786756,1
Feelin' Good,0.229585666,1
Songs to Sing in the Shower,0.215329567,1
Grime Instrumentals,0.213148148,1
LatinX Indie,0.215396825,1
Most Necessary,0.215471698,1
Latinos Unidos,0.213643411,1
Alternative Hip Hop,0.211917808,1
Acoustic Covers,0.211917808,1
Acoustic Hits,0.206246057,1
Lofi Hip-Hop,0.211917808,1
90s Acoustic,0.200576923,1
Have a Great Day!,0.199210526,1
60s Rock Anthems,0.24745234,1
00s Rock Anthems,0.209898534,1
Weekend Hangouts,0.295778894,1
Everyday Favorites,0.201616162,1
The Realest Down South,0.207928731,1
Latin Pop Classics,0.201122244,1
Alternative 70s,0.222767978,1
The '80s All Lined Up,0.20517094,1
Good Times_ Great Oldies,0.208156425,1
Hot Country,0.269475,1
POLLEN,0.5903867,1
All The Feels,0.211917808,1
NIKE RUNNING FASTEST MILE,0.200576923,1
All Out 70s,0.228945,1
New Tejano,0.24745234,1
All Aussie Hip-Hop,0.209898534,1
Teen Party,0.295778894,1
Signed XOXO,0.3745742,1
Ill Lyricist,0.207928731,1
Tejano Classics,0.201122244,1
Dreamy Vibes,0.222767978,1
Country Coffeehouse,0.20517094,1
Salsa Classics,0.263438,1
Left of Center,0.2597455,1
Motivation Mix,0.29859205,1
Epic Workout,0.374615,1
Sad Vibe,0.20561086,1
Wild Cards_ Winter Mix,0.198823529,1
Pop Matters,0.2173956,1
Cloud Rap,0.239465,1
Cali Fire,0.206592013,1
Walk Like A Badass,0.285408163,1
Crowd Pleasers,0.247642971,1
Afropop.csv,0.208156425,1
Out Now,0.2571875,1
Running & Workout,0.217439,1
Love Ballads,0.2648576,1
All Out 60s,0.379576,1
Anti Pop,0.4256525,1
Canciones del Recuerdo,0.219963235,1
Rock Your Body,0.223661417,1
Fitness Araby,0.2437584,1
Country's Greatest Hits_  The '40's,0.219812207,1
Life Sucks,0.3757495,1
Tomorrow's Hits,0.622922014,1
Latin Party Anthems,0.219320113,1
Cumbia Anthems,0.218449905,1
Certified Gold,0.173535,1
Mellow Pop,0.220629302,1
Now Hear This,0.640306,1
Exitos USA,0.23936547,1
Hit Rewind,0.218449905,1
90's Hip-Hop Don't Stop,0.229439655,1
Global Viral 50,0.5239456,1
Vibras,0.247465,1
Straight Off The Porch,0.216704545,1
Urban Poet,0.218109932,1
Fiesta 90era,0.229786756,1
All Out 50s,0.2732467,1
Persian Essentials,0.215329567,1
United States Viral 50,0.239374,1
Endorphin Rush,0.215396825,1
Born To Run 150 BPM,0.215471698,1
Trap Instrumental Beats,0.213643411,1
Fresh & Chill,0.2284903,1
Bodega Sounds,0.2336583,1
Drifting Apart,0.206246057,1
Just Get Going! 155 BPM,0.264566,1
Power Workout,0.200576923,1
Confidence Boost,0.199210526,1
Latin Jazz,0.24745234,1
Bachata Classics,0.209898534,1
Hype Rhythm,0.295778894,1
La Barberia,0.4485635,1
Rock This,0.207928731,1
100% LatinX,0.201122244,1
50 Latin Classics,0.222767978,1
Autumn Acoustic,0.3829465,1
Acoustic Hits_ Oldies but Goodies,0.208156425,1
Clinically Cold,0.2571875,1
Boleros,0.2931563,1
Rep The Set,0.211917808,1
70s & 80s Acoustic,0.200576923,1
Mellow Styles,0.259465,1
Throwback Workout,0.24745234,1
Hype,0.209898534,1
Beats & Rhymes,0.295778894,1
90s Rock Anthems,0.334956,1
No Wahala,0.207928731,1
Viva Latino,0.201122244,1
Sawa,0.222767978,1
Calm Vibes,0.324075,1
Throwback_ Latin Explosion,0.208156425,1
The Piano Lounge,0.2571875,1
HIIT-Hop,0.206964286,1
Tear Drop,0.482564,1
El Bloque,0.20561086,1
Today's Top Hits,0.198823529,1
I Love My '80s Hip-Hop,0.198763931,1
